m=,50
n=,50
dx=,504.7113187538087,m
dy=,310.1360176192224,m
k,i,j,center_x_WebMercator,center_y_WebMercator,center_x_WGS84,center_y_WGS84
2111,43,11,-9535023.81176091,4617798.614038232,-85.65457624548404,38.27113073268803
2112,43,12,-9535023.81176091,4617488.478020613,-85.65457624548404,38.26894344362697
2113,43,13,-9535023.81176091,4617178.342002993,-85.65457624548404,38.26675608869256
2114,43,14,-9535023.81176091,4616868.205985375,-85.65457624548404,38.26456866788602
2115,43,15,-9535023.81176091,4616558.069967755,-85.65457624548404,38.262381181208525
2116,43,16,-9535023.81176091,4616247.933950136,-85.65457624548404,38.26019362866132
2117,43,17,-9535023.81176091,4615937.797932517,-85.65457624548404,38.258006010245566
2118,43,18,-9535023.81176091,4615627.661914897,-85.65457624548404,38.2558183259625
2119,43,19,-9535023.81176091,4615317.525897278,-85.65457624548404,38.253630575813325
2120,43,20,-9535023.81176091,4615007.389879659,-85.65457624548404,38.25144275979923
2121,43,21,-9535023.81176091,4614697.25386204,-85.65457624548404,38.24925487792145
2122,43,22,-9535023.81176091,4614387.1178444205,-85.65457624548404,38.24706693018117
2123,43,23,-9535023.81176091,4614076.981826802,-85.65457624548404,38.2448789165796
2124,43,24,-9535023.81176091,4613766.845809182,-85.65457624548404,38.24269083711796
2125,43,25,-9535023.81176091,4613456.709791563,-85.65457624548404,38.24050269179746
2126,43,26,-9535023.81176091,4613146.573773944,-85.65457624548404,38.23831448061929
2127,43,27,-9535023.81176091,4612836.437756324,-85.65457624548404,38.23612620358467
2128,43,28,-9535023.81176091,4612526.3017387055,-85.65457624548404,38.233937860694816
2129,43,29,-9535023.81176091,4612216.165721086,-85.65457624548404,38.23174945195093
2130,43,30,-9535023.81176091,4611906.029703467,-85.65457624548404,38.22956097735423
2131,43,31,-9535023.81176091,4611595.8936858475,-85.65457624548404,38.22737243690592
2132,43,32,-9535023.81176091,4611285.757668229,-85.65457624548404,38.22518383060722
2133,43,33,-9535023.81176091,4610975.621650609,-85.65457624548404,38.222995158459334
2134,43,34,-9535023.81176091,4610665.4856329905,-85.65457624548404,38.22080642046348
2135,43,35,-9535023.81176091,4610355.349615371,-85.65457624548404,38.21861761662087
2136,43,36,-9535023.81176091,4610045.213597751,-85.65457624548404,38.21642874693271
2137,43,37,-9535023.81176091,4609735.0775801325,-85.65457624548404,38.21423981140023
2138,43,38,-9535023.81176091,4609424.941562513,-85.65457624548404,38.212050810024635
2139,43,39,-9535023.81176091,4609114.805544894,-85.65457624548404,38.20986174280714
2140,43,40,-9535023.81176091,4608804.669527275,-85.65457624548404,38.207672609748954
2141,43,41,-9535023.81176091,4608494.533509656,-85.65457624548404,38.2054834108513
2142,43,42,-9535023.81176091,4608184.397492036,-85.65457624548404,38.2032941461154
2143,43,43,-9535023.81176091,4607874.261474417,-85.65457624548404,38.20110481554245
2144,43,44,-9535023.81176091,4607564.125456798,-85.65457624548404,38.198915419133684
2145,43,45,-9535023.81176091,4607253.989439178,-85.65457624548404,38.19672595689031
2146,43,46,-9535023.81176091,4606943.85342156,-85.65457624548404,38.194536428813564
2147,43,47,-9535023.81176091,4606633.71740394,-85.65457624548404,38.19234683490464
2148,43,48,-9535023.81176091,4606323.581386321,-85.65457624548404,38.19015717516478
2149,43,49,-9535023.81176091,4606013.445368702,-85.65457624548404,38.18796744959518
